track_name,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
Parada Louca,107,3,0.693,0.936,-1.322,0.0524,0,166.034
TV,27,3,0.412,0.236,-15.159,0.0379,0.00653,140.214
Layla,61,3,0.442,0.922,-2.918,0.0695,0,140.082
Silent Hill,21,3,0.907,0.577,-6.737,0.0767,3.19E-05,140.07
Doja,15,3,0.911,0.573,-7.43,0.288,0,140.04
N95,3,3,0.79,0.67,-5.527,0.105,2.32E-06,139.956
NEW MAGIC WAND,54,3,0.621,0.73,-5.414,0.107,0.000131,139.566
Mon??y so big,184,3,0.693,0.575,-7.633,0.0906,0,138.016
Baile no Morro,154,3,0.714,0.404,-7.903,0.453,0,130.088
this is what falling in love feels like,142,3,0.424,0.438,-5.53,0.0553,0,128.983
Demasiadas Mujeres,127,3,0.658,0.453,-7.378,0.39,0.0002,126.043
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",86,3,0.81,0.733,-6.338,0.0444,6.73E-06,125.975
When I? m Gone (with Katy Perry),135,3,0.685,0.886,-4.179,0.034,0,125.034
Pandora,129,3,0.688,0.458,-9.138,0.588,0,124.553
Starlight,45,3,0.954,0.367,-9.551,0.288,5.48E-06,124.026
SUPERMODEL,89,3,0.636,0.876,-3.413,0.0555,0,120.983
THE SHADE,161,3,0.898,0.509,-7.973,0.062,0,119.869
Under The Influence,32,3,0.733,0.69,-5.529,0.0427,1.18E-06,116.992
Summertime Sadness,122,3,0.568,0.646,-6.793,0.0332,0,111.945
Love Grows (Where My Rosemary Goes),112,3,0.568,0.824,-4.613,0.0299,0,108.625
Something In The Way,19,3,0.426,0.225,-12.422,0.0291,0.367,104.506
GIVENCHY,25,3,0.607,0.619,-6.726,0.396,0,102.974
Die Hard,8,3,0.775,0.736,-8.072,0.247,0.00116,100.988
Nerdesin,164,3,0.816,0.696,-6.75,0.153,0.000643,100.004
El Rescate,129,3,0.794,0.594,-8.698,0.139,0.000381,99.238
MORE,22,3,0.783,0.722,-4.864,0.0357,0.00209,97.031
Rich Spirit,17,3,0.852,0.421,-9.153,0.208,2.28E-06,95.977
Bam Bam (feat. Ed Sheeran),13,3,0.756,0.697,-6.377,0.0401,0,94.996
Envolver,3,3,0.812,0.736,-5.421,0.0833,0.00254,91.993
United In Grief,11,3,0.529,0.845,-8.142,0.404,0,85.63
Enemy - From the series Arcane League of Legends,171,3,0.722,0.745,-4.164,0.256,0,77.029
Hati-Hati di Jalan,45,3,0.643,0.436,-11.322,0.0357,0.0889,71.969
"Residente: Bzrp Music Sessions, Vol. 49",18,3,0.586,0.74,-2.997,0.404,0,71.378
All For Us - from the HBO Original Series Euphoria,108,3,0.348,0.652,-7.145,0.0931,0.000264,70.956
Grapejuice,11,2,0.645,0.721,-4.394,0.0336,0.143,182.928
Entre Nosotros (Remix) [con Nicki Nicole],53,2,0.7,0.438,-5.784,0.0433,0,170.106
emo girl (feat. WILLOW),111,2,0.412,0.881,-3.502,0.087,5.82E-05,165.012
Keep Driving,19,2,0.721,0.479,-9.669,0.226,0.00156,164.948
Hot Shit (feat. Ye & Lil Durk),54,2,0.878,0.685,-5.28,0.225,0,157.003
Father Time (feat. Sampha),14,2,0.514,0.779,-4.365,0.344,0,152.869
Pass The Dutchie,85,2,0.805,0.418,-14.374,0.0979,0,149.724
Daylight,10,2,0.686,0.445,-7.189,0.0398,0.00144,145.5
When I Was Your Man,181,2,0.601,0.271,-8.688,0.0403,0,145.494
This Love (Taylor? s Version),50,2,0.47,0.494,-8.672,0.0349,0,144.039
Less Than Zero,23,2,0.535,0.791,-5.55,0.0327,0.000155,142.981
Little Freak,8,2,0.559,0.535,-7.723,0.039,0.000143,141.96
The Family Madrigal,87,2,0.594,0.628,-6.345,0.359,0,141.391
Balan??o da Rede,171,2,0.764,0.796,-4.611,0.033,0,140.072
Never Sleep (with Lil Baby feat. Travis Scott),101,2,0.819,0.651,-5.829,0.169,0,139.957
Christmas Tree,100,2,0.437,0.384,-8.384,0.042,2.33E-05,139.009
Satellite,14,2,0.576,0.457,-6.473,0.0304,3.05E-05,138.984
Polaroid Love,158,2,0.738,0.67,-3.766,0.0439,0,138.055
Par??s,130,2,0.582,0.804,-4.155,0.0389,0,138.014
High,70,2,0.601,0.787,-6.178,0.031,0,134.981
Is There Someone Else?,11,2,0.702,0.586,-7.83,0.0313,7.27E-05,134.951
"Here We Go??Again (feat. Tyler, the Creator)",25,2,0.469,0.623,-4.432,0.0302,0,134.943
Count Me Out,24,2,0.776,0.431,-7.544,0.091,0,133.999
Molhando o Volante,186,2,0.772,0.647,-5.404,0.0758,0,130.183
DESPECH??,6,2,0.919,0.623,-6.521,0.0992,1.63E-05,130.037
Savior,29,2,0.605,0.692,-7.45,0.446,0,124.84
ACORDA PEDRINHO,77,2,0.876,0.359,-11.169,0.341,1.71E-06,124.016
Sweetest Pie,17,2,0.814,0.628,-7.178,0.221,0,123.977
Sharks,111,2,0.927,0.642,-4.466,0.0657,3.62E-05,123.969
Gasoline,13,2,0.728,0.741,-7.075,0.0473,0.00206,123.006
Brividi,9,2,0.523,0.614,-4.435,0.0347,0,122.962
ALIEN SUPERSTAR,24,2,0.545,0.641,-6.398,0.0998,6.59E-05,121.892
Take My Breath,22,2,0.698,0.769,-7.154,0.0368,0.00166,121.02
How Do I Make You Love Me?,14,2,0.805,0.498,-7.927,0.0737,2.37E-05,121.006
SUMMER RENAISSANCE,46,2,0.674,0.625,-9.593,0.0514,0.0015,120.004
What Else Can I Do?,101,2,0.718,0.709,-5.568,0.039,0,119.974
You Proof,91,2,0.731,0.85,-4.913,0.0336,0,119.706
Love Of My Life,15,2,0.555,0.536,-8.233,0.0452,0,118.057
Boyfriends,22,2,0.417,0.202,-10.976,0.0357,0,118.029
Me and Your Mama,158,2,0.554,0.433,-12.628,0.0341,0.0449,117.996
CUFF IT,30,2,0.78,0.689,-5.668,0.141,9.69E-06,115.042
Ginseng Strip 2002,44,2,0.601,0.712,-9.433,0.0431,0,114.998
ENERGY (feat. Beam),34,2,0.903,0.519,-9.151,0.26,0.000106,114.991
Bones,63,2,0.773,0.742,-3.678,0.046,0,114.071
Daydreaming,16,2,0.707,0.811,-5.298,0.0304,0.0152,113.971
Just A Cloud Away,115,2,0.89,0.46,-8.155,0.0359,0,112.555
We Cry Together,22,2,0.648,0.68,-7.276,0.345,0,106.89
Cinema,13,2,0.829,0.644,-7.696,0.0427,0.0511,105.993
SAOKO,80,2,0.827,0.768,-5.702,0.265,2.45E-05,99.988
CACHORRINHAS,109,2,0.709,0.696,-4.837,0.275,0,98.119
The Heart Part 5,44,2,0.7,0.812,-8.128,0.297,0,97.405
Churchill Downs (feat. Drake),57,2,0.71,0.522,-9.102,0.36,0,96.448
Dos Oruguitas,104,2,0.423,0.355,-10.565,0.0454,0,93.788
Out of Time,10,2,0.65,0.76,-4.422,0.0446,0,93.057
Nos Comemos (feat. Ozuna),140,2,0.827,0.819,-3.701,0.052,0,92.017
295,141,2,0.557,0.794,-5.698,0.2,0,91.366
La Loto,157,2,0.855,0.83,-2.815,0.106,1.31E-06,90.009
Best Friends,26,2,0.737,0.564,-7.045,0.105,0,90
Demons,194,2,0.505,0.71,-3.015,0.0321,0.00025,89.938
The 30th,64,2,0.387,0.135,-14.398,0.051,0,82.987
Thinking with My Dick (feat. Juicy J),128,2,0.77,0.699,-6.59,0.199,1.65E-05,81.003
Every Summertime,124,2,0.628,0.676,-4.227,0.0424,6.94E-05,78.996
See You Again (feat. Kali Uchis),144,2,0.558,0.559,-9.222,0.0959,7.49E-06,78.558
I'M ON ONE (feat. Drake),48,2,0.773,0.707,-5.71,0.0568,1.04E-05,76.977
Flowers,72,2,0.684,0.449,-9.738,0.611,0,66.165
ABALO EMOCIONAL - Ao Vivo,194,1,0.441,0.915,-4.096,0.112,0,185.936
Ella - Remix,188,1,0.747,0.812,-4.274,0.111,0.000131,180.062
CANDY,44,1,0.638,0.49,-5.726,0.226,0.0116,179.905
L? enfer,113,1,0.4,0.547,-8.381,0.177,0,177.595
maybe (feat. Bring Me The Horizon),72,1,0.522,0.922,-4.805,0.0616,0,176.105
Plan A,106,1,0.583,0.834,-4.875,0.0444,0,173.935
Si Te La Encuentras Por Ah??,86,1,0.743,0.576,-3.552,0.076,5.87E-05,171.945
Everlong,164,1,0.413,0.881,-5.541,0.0367,0.000308,158.066
Feel My Rhythm,114,1,0.412,0.94,-2.171,0.215,0,157.964
COZY,50,1,0.556,0.63,-8.15,0.102,0.00468,149.147
Come Back Home,193,1,0.552,0.531,-7.732,0.0421,1.21E-05,144.946
ALL UP IN YOUR MIND,148,1,0.744,0.577,-7.228,0.0631,3.06E-06,135.869
sentaDONA (Remix) s2,123,1,0.925,0.454,-3.533,0.273,4.19E-06,135.02
make up sex (feat. blackbear),91,1,0.665,0.678,-4.122,0.0315,0,131.986
STAYING ALIVE (feat. Drake & Lil Baby),21,1,0.718,0.461,-7.676,0.0797,0,129.953
THIQUE,102,1,0.823,0.536,-10.123,0.319,0.0143,128.955
c??mo dormiste?,53,1,0.627,0.429,-8.255,0.234,0,126.426
AMERICA HAS A PROBLEM,152,1,0.789,0.614,-6.491,0.0579,0.00152,126.035
WA DA DA,191,1,0.785,0.907,-2.657,0.0938,3.11E-06,126.004
HENTAI,186,1,0.583,0.297,-11.273,0.406,0,124.279
TOMBOY,189,1,0.755,0.87,-2.414,0.0936,0,124.032
PURE/HONEY,114,1,0.857,0.558,-7.888,0.134,4.80E-05,123.973
Sometimes,77,1,0.674,0.58,-4.866,0.0311,0,121.987
Bad Decisions (with BTS & Snoop Dogg),15,1,0.762,0.861,-3.296,0.0955,0,120.048
P power (feat. Drake),81,1,0.828,0.591,-6.217,0.109,0.000323,119.251
MOVE (feat. Grace Jones & Tems),96,1,0.876,0.628,-6.595,0.0935,0.0339,118.028
BIZCOCHITO,180,1,0.93,0.774,-4.203,0.0744,0.0238,116.972
Cool for the Summer,61,1,0.583,0.61,-5.639,0.0382,0.000105,114.06
Just a Cloud Away,165,1,0.888,0.459,-8.154,0.0357,0,112.56
HEATED,93,1,0.785,0.732,-5.724,0.164,0.000807,110.952
VIRGO'S GROOVE,77,1,0.683,0.85,-5.042,0.0699,1.09E-06,107.988
ARASAN DA,65,1,0.742,0.832,-6.812,0.156,0.242,105.978
I'M THAT GIRL,33,1,0.554,0.535,-8.959,0.186,1.32E-05,105.865
Nobody Like U,157,1,0.905,0.631,-10.06,0.177,0,105.026
Wait a Minute!,138,1,0.764,0.705,-5.279,0.0278,1.94E-05,101.003
REMIX,166,1,0.819,0.781,-4.879,0.0547,0.0012,100.062
Tom's Diner,90,1,0.68,0.428,-8.107,0.135,0.000344,98.222
Pantysito,99,1,0.83,0.739,-5.395,0.0627,2.11E-06,97.993
IDGAF (with blackbear),74,1,0.783,0.75,-5.762,0.078,0,97.953
CHICKEN TERIYAKI,152,1,0.788,0.4,-6.454,0.115,0.000141,97.936
PLASTIC OFF THE SOFA,85,1,0.618,0.712,-8.246,0.114,4.53E-06,97.057
RUMBAT??N,58,1,0.685,0.909,-4.034,0.0396,0,95.004
Fuera del mercado,122,1,0.453,0.673,-5.649,0.144,0,92.06
CHURCH GIRL,39,1,0.792,0.919,-5.688,0.276,5.10E-06,92.028
MANIAC,39,1,0.744,0.8,-2.63,0.266,0,89.925
Heartless,198,1,0.79,0.647,-5.983,0.136,0,87.999
Sigue,45,1,0.889,0.641,-4.494,0.0668,2.75E-05,87.99
Soy El Unico,97,1,0.708,0.449,-4.369,0.0286,0,84.396
Eazy,35,1,0.716,0.551,-6.987,0.47,0,82.393
chaotic,83,1,0.412,0.382,-7.023,0.0497,0,81.493
